% f evaluations | g evaluations | best noise-free fitness - Fopt (7.135000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
206 0 +2.686879989e+00 -5.152231200e+02 -5.152231200e+02 -1.4525e-01 +7.6276e-01 -1.9566e-01 +8.0473e-01 -7.4349e-01
212 0 +2.307956535e+00 -5.156020435e+02 -5.156020435e+02 -1.1666e-01 +7.5722e-01 -1.9070e-01 +8.4264e-01 -7.1589e-01
243 0 +1.750144612e+00 -5.161598554e+02 -5.161598554e+02 -1.3031e-01 +7.2773e-01 -2.0640e-01 +8.3503e-01 -7.1540e-01
320 0 +1.643161327e+00 -5.162668387e+02 -5.162668387e+02 -1.3132e-01 +7.2777e-01 -1.9844e-01 +8.3181e-01 -7.1835e-01
379 0 +1.609852758e+00 -5.163001472e+02 -5.163001472e+02 -1.3034e-01 +7.2823e-01 -2.0141e-01 +8.3386e-01 -7.1862e-01
504 0 +1.609852758e+00 -5.163001472e+02 -5.163001472e+02 -1.3034e-01 +7.2823e-01 -2.0141e-01 +8.3386e-01 -7.1862e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.721000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.000276166e+02 +4.281761661e+01 +4.281761661e+01 +1.8322e-01 -9.0798e-02 -4.8425e-01 +3.0481e-01 +1.7397e-01
3 0 +8.600943673e+01 +2.879943673e+01 +2.879943673e+01 +3.3128e-03 -4.1077e-01 -8.9677e-02 -2.6584e-01 -2.2982e-01
4 0 +8.398255929e+01 +2.677255929e+01 +2.677255929e+01 +4.4725e-01 -4.9622e-01 -1.7059e-01 +1.9203e-01 -1.2010e-01
6 0 +6.100160080e+01 +3.791600800e+00 +3.791600800e+00 +3.2079e-01 +4.6302e-02 -7.0388e-01 -3.4529e-01 +1.4980e-01
19 0 +5.773118652e+01 +5.211865214e-01 +5.211865214e-01 -8.9731e-01 +6.0690e-01 -1.2265e-01 +4.6056e-01 -1.7404e-01
22 0 +5.090235193e+01 -6.307648074e+00 -6.307648074e+00 -1.5518e-03 +4.4041e-01 -9.0353e-01 -9.1489e-02 +2.9264e-02
25 0 +4.589317753e+01 -1.131682247e+01 -1.131682247e+01 -4.0360e-01 +2.7156e-01 -6.6171e-01 +7.2825e-02 +7.0036e-02
28 0 +4.477147118e+01 -1.243852882e+01 -1.243852882e+01 -9.4597e-02 +3.7052e-01 -7.8022e-01 +1.8286e-01 +1.2272e-01
35 0 +3.542904160e+01 -2.178095840e+01 -2.178095840e+01 +1.1105e-01 +2.7568e-01 -1.3556e+00 +1.2440e-01 +2.5132e-01
38 0 +1.734898870e+01 -3.986101130e+01 -3.986101130e+01 -4.9085e-01 +3.1650e-01 -5.3916e-01 +9.5249e-01 +5.6511e-01
41 0 +1.632833967e+01 -4.088166033e+01 -4.088166033e+01 -2.5604e-01 +9.1288e-02 -6.7857e-01 +6.7241e-01 +3.9973e-01
77 0 +1.134882846e+01 -4.586117154e+01 -4.586117154e+01 -4.2348e-01 -4.8410e-03 -7.8999e-01 +6.7282e-01 +3.8127e-01
88 0 +1.004393591e+01 -4.716606409e+01 -4.716606409e+01 -1.6438e-01 -2.6151e-01 -9.7803e-01 +5.5418e-01 +6.1250e-01
93 0 +9.167128128e+00 -4.804287187e+01 -4.804287187e+01 -3.6360e-02 -1.7720e-01 -9.2770e-01 +6.1145e-01 +6.4476e-01
99 0 +6.404912198e+00 -5.080508780e+01 -5.080508780e+01 -2.7314e-01 +3.7532e-02 -9.6151e-01 +8.4058e-01 +4.8522e-01
103 0 +5.527394091e+00 -5.168260591e+01 -5.168260591e+01 -7.1899e-03 -3.2341e-01 -9.0848e-01 +6.2481e-01 +5.7651e-01
118 0 +4.155308869e+00 -5.305469113e+01 -5.305469113e+01 -1.7336e-01 -1.7508e-01 -1.1699e+00 +7.0025e-01 +4.5016e-01
157 0 +3.591530764e+00 -5.361846924e+01 -5.361846924e+01 -2.5884e-01 -2.1259e-01 -9.9823e-01 +6.7876e-01 +4.2453e-01
164 0 +3.507434614e+00 -5.370256539e+01 -5.370256539e+01 -2.3401e-01 -2.5861e-01 -9.4801e-01 +6.4149e-01 +4.3314e-01
167 0 +3.275126624e+00 -5.393487338e+01 -5.393487338e+01 -2.5520e-01 -1.9128e-01 -9.2873e-01 +6.1970e-01 +4.0316e-01
168 0 +1.836328393e+00 -5.537367161e+01 -5.537367161e+01 -1.8245e-01 -2.3197e-01 -9.4781e-01 +6.4503e-01 +4.6793e-01
173 0 +1.745733159e+00 -5.546426684e+01 -5.546426684e+01 -2.2061e-01 -1.7017e-01 -1.0240e+00 +6.3040e-01 +3.5977e-01
196 0 +1.697533920e+00 -5.551246608e+01 -5.551246608e+01 -2.4557e-01 -1.4713e-01 -9.9361e-01 +7.0266e-01 +3.8880e-01
199 0 +1.319517851e+00 -5.589048215e+01 -5.589048215e+01 -2.4172e-01 -1.5625e-01 -9.8291e-01 +6.9813e-01 +4.1832e-01
203 0 +9.574824815e-01 -5.625251752e+01 -5.625251752e+01 -2.1827e-01 -1.7225e-01 -9.8082e-01 +6.7952e-01 +4.1333e-01
245 0 +8.389186705e-01 -5.637108133e+01 -5.637108133e+01 -2.2645e-01 -1.7297e-01 -9.9631e-01 +6.6761e-01 +3.9639e-01
304 0 +7.900390594e-01 -5.641996094e+01 -5.641996094e+01 -2.3120e-01 -1.6764e-01 -9.9063e-01 +6.7142e-01 +3.9695e-01
330 0 +7.628282479e-01 -5.644717175e+01 -5.644717175e+01 -2.3191e-01 -1.6810e-01 -9.9040e-01 +6.7075e-01 +3.9673e-01
334 0 +7.140551142e-01 -5.649594489e+01 -5.649594489e+01 -2.3244e-01 -1.6743e-01 -9.8969e-01 +6.7150e-01 +3.9690e-01
430 0 +7.057986867e-01 -5.650420131e+01 -5.650420131e+01 -2.3228e-01 -1.6738e-01 -9.8965e-01 +6.7206e-01 +3.9717e-01
459 0 +6.914659710e-01 -5.651853403e+01 -5.651853403e+01 -2.3224e-01 -1.6745e-01 -9.8958e-01 +6.7198e-01 +3.9718e-01
504 0 +6.871675612e-01 -5.652283244e+01 -5.652283244e+01 -2.3224e-01 -1.6746e-01 -9.8958e-01 +6.7197e-01 +3.9717e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt (6.626000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.505831498e+01 +1.213183150e+02 +1.213183150e+02 +4.3491e-01 +2.2542e-01 -2.5240e-01 -2.1827e-01 -9.6948e-02
2 0 +2.534287430e+01 +9.160287430e+01 +9.160287430e+01 +7.8613e-02 -1.6785e-01 +1.7298e-01 -4.9754e-01 -3.3716e-01
9 0 +1.230198400e+01 +7.856198400e+01 +7.856198400e+01 +1.2332e-01 -1.5929e-01 -5.9702e-01 -2.8293e-01 -4.2377e-01
53 0 +7.817588404e+00 +7.407758840e+01 +7.407758840e+01 +7.7417e-01 -3.9579e-02 +2.5709e-01 -9.6859e-01 +1.0889e-01
110 0 +6.596995235e+00 +7.285699524e+01 +7.285699524e+01 +6.6614e-01 +7.2840e-01 +5.7490e-02 -1.7869e+00 +5.4095e-02
164 0 +4.355959388e+00 +7.061595939e+01 +7.061595939e+01 +4.5871e-01 +7.1428e-01 -1.6246e-01 -1.4420e+00 +3.3663e-01
193 0 +3.834501892e+00 +7.009450189e+01 +7.009450189e+01 +4.4399e-01 +5.7259e-01 -1.1091e-01 -1.7215e+00 +3.8859e-01
205 0 +1.455211942e+00 +6.771521194e+01 +6.771521194e+01 +4.1595e-01 +6.6994e-01 +1.0077e-01 -1.6199e+00 +3.9119e-01
277 0 +7.484648091e-01 +6.700846481e+01 +6.700846481e+01 +5.4943e-01 +5.9412e-01 +1.8895e-01 -1.8465e+00 +4.4153e-01
302 0 +6.405679451e-01 +6.690056795e+01 +6.690056795e+01 +5.2758e-01 +5.8527e-01 +1.7381e-01 -1.7737e+00 +4.5232e-01
313 0 +5.505823358e-01 +6.681058234e+01 +6.681058234e+01 +5.5054e-01 +5.8089e-01 +1.8302e-01 -1.7948e+00 +4.4230e-01
323 0 +4.054437090e-01 +6.666544371e+01 +6.666544371e+01 +5.7162e-01 +5.8679e-01 +1.9465e-01 -1.8377e+00 +4.4353e-01
