% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.235000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
396 0 +5.274206985e-02 -5.229725793e+01 -5.229725793e+01 -7.8936e-01 -1.1646e+00 +2.6629e+00 -2.3627e+00 -1.5968e+00 +3.7098e+00 -3.8179e+00 -1.0995e-02 +2.9455e+00 -1.7719e+00
404 0 +4.290584234e-02 -5.230709416e+01 -5.230709416e+01 -7.8456e-01 -1.2772e+00 +2.6899e+00 -2.3110e+00 -1.4712e+00 +3.8824e+00 -3.6810e+00 +1.2237e-01 +2.7722e+00 -1.7568e+00
448 0 +2.736549022e-02 -5.232263451e+01 -5.232263451e+01 -8.1831e-01 -1.2484e+00 +2.5893e+00 -2.3854e+00 -1.5486e+00 +3.7101e+00 -3.8006e+00 +8.1067e-02 +2.7514e+00 -1.7325e+00
454 0 +2.312654632e-02 -5.232687345e+01 -5.232687345e+01 -8.9275e-01 -1.1799e+00 +2.5097e+00 -2.4011e+00 -1.4853e+00 +3.7939e+00 -3.8134e+00 +9.7416e-02 +2.7802e+00 -1.8248e+00
462 0 +2.126880064e-02 -5.232873120e+01 -5.232873120e+01 -8.7076e-01 -1.2373e+00 +2.5844e+00 -2.4449e+00 -1.4454e+00 +3.6876e+00 -3.7813e+00 +4.6158e-02 +2.8090e+00 -1.7129e+00
472 0 +1.459884663e-02 -5.233540115e+01 -5.233540115e+01 -8.8405e-01 -1.2130e+00 +2.5115e+00 -2.4519e+00 -1.4788e+00 +3.7324e+00 -3.7748e+00 +9.7098e-02 +2.8123e+00 -1.7145e+00
484 0 +7.671200215e-03 -5.234232880e+01 -5.234232880e+01 -8.7576e-01 -1.2065e+00 +2.5557e+00 -2.4127e+00 -1.4839e+00 +3.6911e+00 -3.7927e+00 +8.9071e-02 +2.8314e+00 -1.6725e+00
568 0 +6.796000091e-03 -5.234320400e+01 -5.234320400e+01 -8.8530e-01 -1.2110e+00 +2.5328e+00 -2.3907e+00 -1.4630e+00 +3.7191e+00 -3.7738e+00 +1.1214e-01 +2.8020e+00 -1.7102e+00
600 0 +6.045584649e-03 -5.234395442e+01 -5.234395442e+01 -8.8030e-01 -1.2141e+00 +2.5173e+00 -2.3979e+00 -1.4736e+00 +3.7407e+00 -3.7992e+00 +1.2424e-01 +2.7957e+00 -1.7150e+00
621 0 +5.657597122e-03 -5.234434240e+01 -5.234434240e+01 -8.7433e-01 -1.2082e+00 +2.5316e+00 -2.3872e+00 -1.4908e+00 +3.7344e+00 -3.7989e+00 +1.1084e-01 +2.7829e+00 -1.7211e+00
631 0 +5.496506071e-03 -5.234450349e+01 -5.234450349e+01 -8.8282e-01 -1.2102e+00 +2.5374e+00 -2.3982e+00 -1.4713e+00 +3.7257e+00 -3.7946e+00 +1.1104e-01 +2.7809e+00 -1.7147e+00
665 0 +4.854451650e-03 -5.234514555e+01 -5.234514555e+01 -8.7889e-01 -1.2146e+00 +2.5264e+00 -2.3960e+00 -1.4818e+00 +3.7089e+00 -3.7914e+00 +1.0710e-01 +2.7825e+00 -1.7114e+00
687 0 +4.700576359e-03 -5.234529942e+01 -5.234529942e+01 -8.8399e-01 -1.2126e+00 +2.5242e+00 -2.3947e+00 -1.4759e+00 +3.7097e+00 -3.7933e+00 +1.0491e-01 +2.7865e+00 -1.7157e+00
702 0 +4.529240627e-03 -5.234547076e+01 -5.234547076e+01 -8.8207e-01 -1.2201e+00 +2.5210e+00 -2.3891e+00 -1.4784e+00 +3.7094e+00 -3.7928e+00 +1.0798e-01 +2.7850e+00 -1.7114e+00
720 0 +4.351380970e-03 -5.234564862e+01 -5.234564862e+01 -8.8246e-01 -1.2190e+00 +2.5225e+00 -2.3899e+00 -1.4781e+00 +3.7090e+00 -3.7919e+00 +1.0411e-01 +2.7832e+00 -1.7078e+00
733 0 +4.262699147e-03 -5.234573730e+01 -5.234573730e+01 -8.8208e-01 -1.2209e+00 +2.5228e+00 -2.3923e+00 -1.4757e+00 +3.7084e+00 -3.7909e+00 +9.9476e-02 +2.7856e+00 -1.7082e+00
736 0 +4.162547675e-03 -5.234583745e+01 -5.234583745e+01 -8.8264e-01 -1.2196e+00 +2.5223e+00 -2.3898e+00 -1.4779e+00 +3.7072e+00 -3.7942e+00 +1.0142e-01 +2.7835e+00 -1.7072e+00
769 0 +4.044481145e-03 -5.234595552e+01 -5.234595552e+01 -8.8365e-01 -1.2221e+00 +2.5220e+00 -2.3913e+00 -1.4770e+00 +3.7083e+00 -3.7938e+00 +1.0068e-01 +2.7834e+00 -1.7060e+00
773 0 +3.944932796e-03 -5.234605507e+01 -5.234605507e+01 -8.8241e-01 -1.2231e+00 +2.5215e+00 -2.3885e+00 -1.4772e+00 +3.7125e+00 -3.7988e+00 +1.0181e-01 +2.7826e+00 -1.7095e+00
808 0 +3.884616730e-03 -5.234611538e+01 -5.234611538e+01 -8.8405e-01 -1.2230e+00 +2.5215e+00 -2.3875e+00 -1.4758e+00 +3.7090e+00 -3.7983e+00 +1.0000e-01 +2.7840e+00 -1.7109e+00
827 0 +3.795670146e-03 -5.234620433e+01 -5.234620433e+01 -8.8357e-01 -1.2234e+00 +2.5204e+00 -2.3884e+00 -1.4755e+00 +3.7094e+00 -3.8002e+00 +9.8524e-02 +2.7825e+00 -1.7115e+00
836 0 +3.663156508e-03 -5.234633684e+01 -5.234633684e+01 -8.8304e-01 -1.2252e+00 +2.5197e+00 -2.3871e+00 -1.4767e+00 +3.7077e+00 -3.7997e+00 +9.7166e-02 +2.7829e+00 -1.7140e+00
854 0 +3.630165904e-03 -5.234636983e+01 -5.234636983e+01 -8.8327e-01 -1.2248e+00 +2.5197e+00 -2.3872e+00 -1.4760e+00 +3.7074e+00 -3.8014e+00 +9.7454e-02 +2.7833e+00 -1.7139e+00
871 0 +3.545894898e-03 -5.234645411e+01 -5.234645411e+01 -8.8331e-01 -1.2258e+00 +2.5201e+00 -2.3867e+00 -1.4769e+00 +3.7082e+00 -3.8010e+00 +9.6286e-02 +2.7837e+00 -1.7115e+00
890 0 +3.375986645e-03 -5.234662401e+01 -5.234662401e+01 -8.8312e-01 -1.2263e+00 +2.5200e+00 -2.3862e+00 -1.4758e+00 +3.7073e+00 -3.8041e+00 +9.4726e-02 +2.7844e+00 -1.7132e+00
