% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.235000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
76 0 +1.823035825e+01 -3.411964175e+01 -3.411964175e+01 -4.3233e-01 -4.2684e-01 +6.8571e-01 +4.4300e-01 +2.6756e-01 +5.0888e-01 -7.1446e-01 -9.0940e-01 +4.0956e-01 -1.0335e+00 +5.9788e-01 +2.0982e-01 -1.0505e-01 -2.5105e-01 +8.4305e-01 -5.0536e-01 -6.0808e-01 -1.2706e-01 +4.1769e-01 -1.3409e+00
102 0 +1.815979500e+01 -3.419020500e+01 -3.419020500e+01 -6.7144e-01 -4.6154e-01 +9.7773e-02 -4.6252e-02 +2.3919e-01 +7.8470e-01 -1.0693e+00 -4.0163e-01 +5.2557e-01 -8.9329e-01 +7.5842e-01 -4.0442e-02 -7.3206e-02 +1.6051e-01 +5.9899e-01 -2.3553e-01 -3.7588e-01 +1.1034e-01 +2.0719e-01 -1.6716e+00
111 0 +1.764620461e+01 -3.470379539e+01 -3.470379539e+01 -9.2991e-01 -5.2350e-02 +6.8085e-01 +4.5398e-01 +4.9009e-01 +4.2409e-01 -1.5148e+00 -2.5475e-02 +3.1110e-01 -1.0516e+00 +5.3586e-01 -2.2342e-01 -8.9473e-02 -3.6895e-01 +4.3508e-01 -5.5276e-01 -1.3631e-01 -1.1528e-01 +7.4233e-01 -1.8034e+00
117 0 +1.732903217e+01 -3.502096783e+01 -3.502096783e+01 -1.0226e+00 -6.6571e-01 +5.1177e-01 +3.9121e-01 +3.0643e-01 +5.0462e-01 -8.6573e-01 -7.8329e-01 +1.7314e-01 -1.0192e+00 +1.1507e+00 -2.9441e-01 +1.1555e-01 -2.1671e-01 +1.0904e+00 -5.2197e-01 -4.4436e-01 -3.4301e-01 +9.0900e-01 -1.6474e+00
118 0 +1.569631382e+01 -3.665368618e+01 -3.665368618e+01 -6.9652e-01 -6.5704e-01 +4.9564e-01 +7.9778e-02 -4.0595e-02 +1.0363e+00 -1.1300e+00 -6.9045e-01 +1.4270e-01 -9.7868e-01 +6.1812e-01 -4.3272e-01 -4.3197e-02 -5.2517e-01 +9.4143e-01 -5.3874e-01 -4.0419e-01 -1.3503e-01 +7.2237e-01 -1.5506e+00
122 0 +1.500846934e+01 -3.734153066e+01 -3.734153066e+01 -1.2978e+00 -6.8411e-01 +7.2366e-01 +1.2267e-02 -3.2437e-01 +7.5390e-01 -1.4335e+00 -6.0469e-01 +5.4219e-01 -8.3281e-01 +1.0614e+00 +3.6978e-02 -1.5586e-01 -5.7647e-01 +9.5219e-01 -1.3948e-01 -3.0339e-01 -3.7059e-01 +6.0018e-01 -2.2202e+00
137 0 +1.407274391e+01 -3.827725609e+01 -3.827725609e+01 -6.0605e-01 -1.3852e+00 +1.0441e+00 -1.5560e-01 -1.2153e-01 +6.9458e-01 -1.7691e+00 -9.8656e-01 +1.5451e-01 -1.4156e+00 +1.3957e+00 -3.1665e-01 +1.4780e-01 -1.3608e-01 +7.7523e-01 -2.5618e-01 +3.8965e-01 -7.6423e-01 +7.9152e-01 -2.0132e+00
140 0 +1.343662281e+01 -3.891337719e+01 -3.891337719e+01 -1.0718e+00 -7.0134e-01 +1.1632e+00 -1.3300e-01 +1.7908e-01 +1.1356e+00 -1.5450e+00 -6.6035e-01 +5.5625e-01 -1.4928e+00 +8.1163e-01 +4.7419e-02 +4.7041e-01 -5.3362e-01 +1.1902e+00 -8.0367e-01 -2.5828e-01 -6.5149e-01 +5.6471e-01 -2.0059e+00
146 0 +1.275337441e+01 -3.959662559e+01 -3.959662559e+01 -7.2708e-01 -8.6296e-01 +3.2190e-01 -7.9499e-01 +3.0406e-01 +8.8662e-01 -1.7792e+00 -1.4012e+00 +7.3632e-01 -1.8131e+00 +1.2843e+00 -3.4495e-01 +3.7009e-01 -4.8560e-01 +4.6206e-01 -3.1324e-01 -8.5705e-01 -7.2906e-01 +1.0661e+00 -1.1985e+00
157 0 +1.213666956e+01 -4.021333044e+01 -4.021333044e+01 -8.6527e-01 -1.0994e+00 -1.7093e-01 -9.7113e-01 +9.2099e-03 +1.1115e+00 -2.1138e+00 -6.6149e-01 +6.2023e-01 -1.8250e+00 +1.1984e+00 -2.5719e-01 +3.2047e-01 -9.4841e-01 +8.2753e-01 -5.7936e-01 -4.3875e-01 -6.4925e-01 +1.1218e+00 -1.9168e+00
